kind,name,description,start_ms,end_ms,trial_id
Strategy,Trial&Error,overview of program,2951,14006,8
Strategy,ProgramFlow,main <-> constructor <-> w/h/a,19125,51222,8
Strategy,Debugging,main <-> w/h/a,52956,67629,8
Strategy,Debugging,height <-> main,80385,86187,8
Strategy,Trial&Error,overview of program,2801,8186,9
Strategy,TestHypothesis,scan of w/h/a/main,11905,25560,9
Strategy,ProgramFlow,main -> constructor -> main,26078,35615,9
Strategy,TestHypothesis,main body,35882,44435,9
Strategy,Debugging,main <-> h/a,45036,56307,9
