ID	SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Length	PosX	PosY	
18169	UL29	8	1	88	33681	483	592.541687011719	187.5	
18170	UL29	8	1	89	34181	183	649.479187011719	187.66667175293	
18171	UL29	8	1	90	34831	334	927.261901855469	758.714294433594	
18172	UL29	8	1	91	35398	167	693.068176269531	830.545471191406	
18173	UL29	8	1	92	35615	167	438.522735595703	816.909118652344	
18174	UL29	8	1	93	35882	283	624.722229003906	814.833312988281	
18175	UL29	8	1	94	36182	150	662.75	813.5	
18176	UL29	8	1	95	36365	234	720.083312988281	805.933349609375	
18177	UL29	8	1	96	36615	417	670.288452148438	806.384643554688	
18178	UL29	8	1	97	37299	183	600.104187011719	814.166687011719	
18179	UL29	8	1	98	37549	384	664.21875	817.333312988281	
18180	UL29	8	1	99	38199	317	549.125	814.349975585938	
18181	UL29	8	1	100	38550	266	626.691162109375	819.588256835938	
18182	UL29	8	1	101	38866	651	691.96875	815.799987792969	
18183	UL29	8	1	102	39583	300	675.131591796875	885.421081542969	
18184	UL29	8	1	103	39933	384	659.166687011719	813.291687011719	
18185	UL29	8	1	104	40384	183	670.3125	749.916687011719	
18186	UL29	8	1	105	40584	200	617.788452148438	768.692321777344	
18187	UL29	8	1	106	40834	183	554.895812988281	773.083312988281	
18188	UL29	8	1	107	41034	183	557.5	848.916687011719	
18189	UL29	8	1	108	41251	350	852.329528808594	851.636352539063	
18190	UL29	8	1	109	41651	217	715.178588867188	851.357116699219	
18191	UL29	8	1	110	41934	217	693.660705566406	815.857116699219	
18192	UL29	8	1	111	42284	334	671.130981445313	824.90478515625	
18193	UL29	8	1	112	42635	267	638.014709472656	821.176452636719	
18194	UL29	8	1	113	42951	217	678.214294433594	822.214294433594	
18195	UL29	8	1	114	43235	200	851.730773925781	767.846130371094	
18196	UL29	8	1	115	43535	250	914.609375	772.25	
18197	UL29	8	1	116	44085	217	832.410705566406	750.857116699219	
18198	UL29	8	1	117	44435	451	695.044616699219	808.5	
18199	UL29	8	1	118	45036	250	660.46875	549	
18200	UL29	8	1	119	45469	167	664.772705078125	433.272735595703	
18201	UL29	8	1	120	45719	167	905.795471191406	640.090881347656	
18202	UL29	8	1	121	45919	267	680.36767578125	636.411743164063	
18203	UL29	8	1	122	46236	250	760.9375	626.375	
18204	UL29	8	1	123	46603	250	697.65625	634.625	
18205	UL29	8	1	124	46870	333	647.875	637.950012207031	
18206	UL29	8	1	125	47237	366	770.869567871094	633.869567871094	
18207	UL29	8	1	126	47654	233	865.5	623.533325195313	
18208	UL29	8	1	127	47970	467	921.594848632813	620	
18209	UL29	8	1	128	48487	284	884.652770996094	797.666687011719	
18210	UL29	8	1	129	48837	567	872.964294433594	835.028564453125	
18211	UL29	8	1	130	49471	250	783.75	803.9375	
18212	UL29	8	1	131	49738	317	832	839.099975585938	
18213	UL29	8	1	132	50121	250	890.9375	850.75	
18214	UL29	8	1	133	50588	400	768.75	769.200012207031	
