ID	SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Length	PosX	PosY	
17847	BE26	8	1	1	250	184	423.4375	378.083343505859	
17848	BE26	8	1	2	567	200	324.711547851563	67.538459777832	
17849	BE26	8	1	3	867	183	415.625	-3.75	
17850	BE26	8	1	4	1284	283	444.852935791016	159.117645263672	
17851	BE26	8	1	5	2034	867	366.030792236328	133.842895507813	
17852	BE26	8	1	6	2951	317	469.0625	143.449996948242	
17853	BE26	8	1	7	3352	233	397.5	210	
17854	BE26	8	1	8	3785	183	619.6875	221.5	
17855	BE26	8	1	9	4102	383	782.34375	205.875	
17856	BE26	8	1	10	4552	433	416.574066162109	275.481475830078	
17857	BE26	8	1	11	5619	317	405.0625	322.700012207031	
17858	BE26	8	1	12	5953	466	424.913787841797	295.827575683594	
17859	BE26	8	1	13	6470	350	378.977264404297	496.909088134766	
17860	BE26	8	1	14	7103	167	632.045471191406	513.181823730469	
17861	BE26	8	1	15	7287	233	574.75	515.333312988281	
17862	BE26	8	1	16	7537	166	670.340881347656	523.727294921875	
17863	BE26	8	1	17	12822	200	492.5	774.307678222656	
17864	BE26	8	1	18	13106	200	580.096130371094	771.153869628906	
17865	BE26	8	1	19	13356	150	783.75	775.200012207031	
17866	BE26	8	1	20	13539	434	884.305541992188	778.592590332031	
17867	BE26	8	1	21	14006	250	591.25	782.375	
17868	BE26	8	1	22	14706	451	494.732147216797	783.214294433594	
17869	BE26	8	1	23	15240	167	427.159088134766	769.272705078125	
17870	BE26	8	1	24	15457	233	497.916656494141	837.599975585938	
17871	BE26	8	1	25	16024	166	660.454528808594	770.636352539063	
17872	BE26	8	1	26	16224	267	844.11767578125	779.764709472656	
17873	BE26	8	1	27	16507	334	913.392883300781	785.619018554688	
17874	BE26	8	1	28	17291	333	474.047607421875	819.619018554688	
17875	BE26	8	1	29	17975	300	677.565795898438	815.368408203125	
17876	BE26	8	1	30	18291	184	703.125	826.583312988281	
17877	BE26	8	1	31	18491	151	659.375	826.299987792969	
17878	BE26	8	1	32	18675	267	685	890.647033691406	
17879	BE26	8	1	33	19125	384	659.479187011719	814.041687011719	
17880	BE26	8	1	34	20059	233	569.166687011719	489.266662597656	
17881	BE26	8	1	35	20325	217	465.892852783203	371.714294433594	
17882	BE26	8	1	36	20576	250	445.78125	227.375	
17883	BE26	8	1	37	20909	200	362.5	234.307693481445	
17884	BE26	8	1	38	21159	234	387.666656494141	169.133331298828	
17885	BE26	8	1	39	21759	217	578.928588867188	521.428588867188	
17886	BE26	8	1	40	22410	167	441.704559326172	599.909118652344	
17887	BE26	8	1	41	22593	184	468.020843505859	666.333312988281	
17888	BE26	8	1	42	22793	184	414.270843505859	658.833312988281	
17889	BE26	8	1	43	23010	267	627.941162109375	660	
17890	BE26	8	1	44	23327	300	710.131591796875	671.421081542969	
